date,equity,position,daily_return,peak_equity,drawdown
2025-05-04,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-05,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-06,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-07,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-08,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-09,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-10,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-11,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-12,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-13,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-14,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-15,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-16,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-17,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-18,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-19,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-20,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-21,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-22,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-23,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-24,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-25,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-26,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-27,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-28,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-29,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-30,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-05-31,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-01,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-02,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-03,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-04,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-05,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-06,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-07,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-08,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-09,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-10,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-11,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-12,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-13,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-14,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-15,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-16,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-17,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-18,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-19,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-20,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-21,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-22,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-23,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-24,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-25,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-26,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
2025-06-27,51843.49557929112,1,-0.0014999999999999458,63509.608515342006,-0.1836905187855583
2025-06-28,52147.20606849662,1,0.005858217811354871,63509.608515342006,-0.17890840004313002
2025-06-29,53618.64592676574,1,0.028217041126543663,63509.608515342006,-0.15573962459848745
2025-06-30,51797.412788996306,1,-0.033966414225695685,63509.608515342006,-0.1844161222237165
2025-07-01,49651.498174351946,1,-0.041428992281642096,63509.608515342006,-0.2182049404011419
2025-07-02,54197.109209144655,1,0.09155032983759592,63509.608515342006,-0.1466313448294636
2025-07-03,55171.65588638432,0,0.017981525056602665,63509.608515342006,-0.13128647497399537
2025-07-04,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-05,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-06,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
